ra,dec,mjd,plate,fiberID,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,class,z,w1mpro,w2mpro,w3mpro,w4mpro
34.886548,-0.94936071,56986,7835,909,22.26102,22.61218,21.66975,20.57076,19.71108,GALAXY,1.434005,15.719,15.432,12.414,9.31
32.6341,4.7593082,58396,8733,201,25.10686,23.36239,22.30937,21.25999,19.86884,GALAXY,1.064166,15.488,15.067,12.237,9.222
32.646561,3.9513733,57642,8734,431,27.60787,23.41623,21.31382,20.27921,19.06207,GALAXY,1.190019,16.525,16.598,12.847,8.824
31.161434,0.96872644,56987,7837,825,21.50095,21.61778,21.27051,20.97009,20.25197,GALAXY,1.111378,16.851,16.298,12.433,9.257
31.027038,0.69763859,56987,7837,834,22.89122,22.24093,21.61915,21.68092,21.58701,GALAXY,1.491755,17.591,16.651,12.671,9.36
31.864517,0.29000133,56987,7837,981,24.4148,23.1392,21.64491,20.60948,19.9199,GALAXY,1.217947,15.924,15.883,13.005,8.912
31.420176,-0.11187542,56987,7837,119,23.19837,24.11214,21.95337,20.72134,19.80517,GALAXY,1.51195,16.771,16.369,12.821,8.975
31.412718,-0.45853455,56987,7837,113,21.93445,23.33438,22.15468,21.11545,19.27647,GALAXY,1.504941,16.642,16.759,12.971,9.304
30.925908,6.0681954,58396,8733,514,22.60991,22.17296,21.82444,22.20338,22.09224,GALAXY,1.333427,17.643,17.272,12.948,8.958
31.005279,6.207268,58396,8733,509,23.63598,25.23565,22.61536,21.57998,19.84583,GALAXY,1.013591,15.239,15.142,11.971,8.831
29.669653,2.3768815,57278,7836,761,24.59694,24.59626,21.96166,20.89561,19.86796,GALAXY,1.037292,15.805,15.737,12.848,8.965
30.364074,2.2492578,57278,7836,927,24.45806,23.04735,22.4266,21.13968,19.7373,GALAXY,1.016214,16.512,16.319,12.949,9.299
30.892493,2.2656061,57278,7836,989,22.77127,22.34401,22.35304,22.42613,22.51368,GALAXY,1.09634,15.703,15.663,12.601,9.406
30.961232,0.71246174,56987,7837,837,23.44355,22.65086,21.40562,20.40762,19.69685,GALAXY,1.814796,15.601,15.563,12.135,9.373
29.565459,0.025657493,56987,7837,509,23.9052,22.40701,21.48948,20.21021,19.3273,GALAXY,1.163747,16.051,16.219,13.018,8.732
30.03532,0.046683039,56987,7837,611,22.33012,23.27388,22.02168,20.93158,19.8858,GALAXY,1.199012,16.945,16.539,12.515,8.93
30.154588,-0.028456625,56987,7837,619,23.33526,22.65775,21.36258,20.19276,19.46632,GALAXY,1.180972,16.32,16.303,12.454,9.422
22.719756,-4.3371264,57713,9335,341,23.22082,22.0827,21.74265,20.97003,20.24869,GALAXY,1.04062,16.804,16.455,12.854,9.199
22.303099,-2.6954852,57713,9335,589,22.6219,22.70952,22.91541,22.34909,21.55363,GALAXY,1.198249,17.427,17.19,12.719,9.259
21.974398,-2.7907852,57712,9334,909,22.87303,22.83446,22.43243,21.38709,20.80294,GALAXY,1.010696,16.176,15.694,12.215,8.855
22.020754,-3.1598346,57713,9335,522,25.49002,22.57375,22.0409,21.43681,22.68866,GALAXY,1.003448,16.268,15.707,12.303,9.183
21.966044,-3.1638193,57713,9335,523,23.34205,22.24437,22.11119,21.50039,20.75994,GALAXY,1.373822,15.473,15.148,12.641,8.975
22.559645,-3.043995,57713,9335,634,24.5511,22.56152,22.75859,23.21131,21.70183,GALAXY,1.038347,17.273,17.041,12.702,9.097
22.241709,-3.2034328,57713,9335,565,24.20872,22.76269,22.2212,21.68292,20.56544,GALAXY,1.350389,16.58,16.248,12.867,9.129
22.08176,-3.5625362,57712,9334,925,22.88413,22.5678,21.80632,21.60073,21.12675,GALAXY,1.035844,16.946,16.48,12.773,8.983
20.55286,-3.8718491,58076,9333,109,21.78842,21.74837,21.22256,20.35223,19.5162,GALAXY,1.021711,16.665,16.246,11.879,8.299
20.838861,-4.0053265,57712,9334,700,22.0395,22.3991,21.9358,21.38915,20.46832,GALAXY,1.046268,16.951,16.242,12.595,8.649
21.106306,-4.0203143,58076,9333,28,26.1126,22.76735,22.15269,21.69149,21.32339,GALAXY,1.006124,16.267,16.09,12.678,9.114
21.575928,-3.9073564,57713,9335,514,23.06288,22.02271,21.43955,21.03224,20.54642,GALAXY,1.010121,16.722,16.505,12.789,9.038
21.797492,-3.9129875,57712,9334,894,23.96786,23.11106,22.65147,22.29625,21.76167,GALAXY,1.105467,15.758,15.424,12.816,9.135
21.957628,-4.1081402,57712,9334,106,22.77271,22.33863,21.81609,21.7802,20.94661,GALAXY,1.038274,17.277,16.864,12.397,8.893
21.931295,-4.2972778,57712,9334,108,24.25204,22.74117,22.10609,21.41253,20.63496,GALAXY,1.005235,16.765,16.177,12.039,8.639
21.669227,-4.1002463,57712,9334,145,22.75742,23.03292,22.31325,22.0635,21.6767,GALAXY,1.175526,16.989,16.341,12.271,9.036
21.476207,-4.3432344,57712,9334,207,23.19021,22.32251,22.0219,21.50389,20.87551,GALAXY,1.055475,16.574,15.628,12.189,9.101
21.728253,-4.1608233,57713,9335,482,22.73253,22.46701,21.75879,21.42912,21.00722,GALAXY,1.005905,16.654,16.366,12.184,8.816
21.216651,-4.2371776,57712,9334,332,22.76118,22.58459,21.63341,21.25628,20.72861,GALAXY,1.046664,16.562,16.257,12.023,8.593
21.24608,-4.3186201,57712,9334,282,24.35746,22.53632,21.84214,21.10916,20.38056,GALAXY,1.039213,16.009,15.674,12.442,9.108
20.972369,-4.1505385,58076,9333,51,22.67726,22.65803,23.47047,22.70618,21.58186,GALAXY,1.044309,17.008,16.614,12.466,9.042
20.547567,-4.4316385,57712,9334,444,25.19038,22.35919,21.65411,20.58563,20.58755,GALAXY,1.030152,16.556,16.441,12.505,8.682
22.857005,-0.51467452,57373,8791,147,22.08857,21.75069,21.54761,21.28005,21.79955,GALAXY,1.395593,16.883,15.734,12.995,9.393
22.949209,-0.48645282,57373,8791,141,22.59255,22.4487,21.40761,20.66617,20.15067,GALAXY,1.678749,14.276,12.88,10.003,7.934
23.357714,-0.50544502,57373,8791,60,22.27846,23.51297,22.98755,21.61509,21.36086,GALAXY,1.151324,16.507,15.529,12.741,9.099
22.650546,-1.0095679,57373,8791,167,23.378,22.89647,22.389,21.73184,20.62946,GALAXY,1.145989,16.331,15.349,11.262,8.493
22.553521,-1.0320707,57373,8791,183,23.11288,23.95288,23.66494,22.13584,20.69874,GALAXY,1.192895,14.968,13.493,10.568,8.673
23.202996,-0.78685001,57373,8791,86,23.12804,22.7771,22.95129,22.25031,21.5745,GALAXY,1.095458,16.961,15.584,12.496,9.331
22.896075,-1.0579507,57373,8791,129,24.22418,23.24449,21.38685,22.21563,23.61379,GALAXY,1.68211,18.215,16.129,12.626,9.198
22.955235,-1.109306,57373,8791,82,23.05624,22.80583,21.97704,22.09103,21.03658,GALAXY,1.173012,15.956,15.31,12.453,8.642
22.754447,19.356232,56988,7629,17,22.50612,21.5492,21.04442,20.91023,20.6769,GALAXY,1.021379,15.932,14.989,12.251,8.888
22.65587,19.16872,56988,7629,3,21.1174,22.37929,22.00358,20.59712,19.81939,GALAXY,1.066957,16.234,16.123,12.667,9.217
22.230945,18.81294,56988,7629,53,26.21924,25.538,22.6264,20.98546,19.90992,GALAXY,1.005095,15.754,15.529,12.974,8.742
20.855551,4.0929342,57712,9434,921,23.28508,22.61853,22.37222,22.08339,21.43783,GALAXY,1.162347,17.24,16.629,12.874,8.803
20.883094,4.1413153,57712,9434,911,23.36719,22.40225,22.13921,21.78762,21.51944,GALAXY,1.083753,16.684,16.388,12.389,8.686
20.758764,4.2413878,57712,9434,914,26.29183,22.62519,21.45873,21.1829,20.59575,GALAXY,1.089414,17.074,16.667,12.619,9.116
21.00954,3.8997746,57712,9434,970,22.62878,22.69598,21.40723,21.22182,20.49112,GALAXY,1.014154,16.691,15.841,12.812,9.052
21.140427,3.9497805,57712,9434,974,22.67593,22.49998,22.0736,21.62602,21.19973,GALAXY,1.266743,16.6,15.489,12.829,8.973
20.875854,0.67857319,57373,8791,503,23.69085,23.00968,22.7037,21.95946,22.31487,GALAXY,1.165506,17.428,16.993,12.773,9.257
20.957591,0.56234628,57373,8791,508,22.96628,23.50805,22.303,22.68841,22.32818,GALAXY,1.458539,17.309,16.586,12.562,8.534
20.741332,0.4496465,57363,8790,929,23.11017,22.52703,22.32738,22.44901,21.82978,GALAXY,1.489453,17.5,15.736,12.859,8.872
20.539608,0.2233185,57363,8790,898,22.92403,24.67112,22.83865,21.49951,20.7869,GALAXY,1.020621,15.864,14.825,11.987,9.15
21.352529,0.0227202,57363,8790,77,24.4601,24.29671,23.17226,22.01897,21.6562,GALAXY,1.253263,16.527,15.169,12.225,9.251
21.9084,0.1343932,57373,8791,700,23.46793,23.32605,22.79259,21.78914,21.27609,GALAXY,1.314179,16.692,15.458,12.074,8.551
21.867778,-0.301359,57373,8791,373,22.64193,22.27681,22.03415,21.89687,21.13155,GALAXY,1.188858,17.42,15.625,12.5,8.914
20.766754,-0.1694048,57373,8791,497,24.41631,23.46195,22.41619,21.74203,21.11836,GALAXY,1.627122,16.834,16.668,12.204,8.769
